Ano,Município,Quantidade produzida (Toneladas),Valor da produção (Mil Reais),Área plantada ou destinada à colheita (Hectares),Área plantada ou destinada à colheita - percentual do total geral (Percentual)
2020,Pontes e Lacerda (MT),92925.0,111510.0,24980.0,64.97
2020,Porto Alegre do Norte (MT),110298.0,137914.0,29650.0,62.91
2020,Porto Esperidião (MT),14160.0,15340.0,3776.0,69.98
2020,Porto Estrela (MT),0.0,0.0,0.0,0.0
2020,Porto dos Gaúchos (MT),611520.0,733824.0,182000.0,56.35
2020,Poxoréu (MT),222720.0,299688.0,64000.0,60.97
2020,Primavera do Leste (MT),894360.0,1203433.0,257000.0,60.77
2020,Querência (MT),1170000.0,1401660.0,360000.0,61.86
2020,Reserva do Cabaçal (MT),0.0,0.0,0.0,0.0
2020,Ribeirão Cascalheira (MT),280500.0,322295.0,85000.0,73.78
2020,Ribeirãozinho (MT),67106.0,92606.0,20335.0,68.73
2020,Rio Branco (MT),0.0,0.0,0.0,0.0
2020,Rondolândia (MT),0.0,0.0,0.0,0.0
2020,Rondonópolis (MT),290700.0,394625.0,85000.0,71.07
2020,Rosário Oeste (MT),101059.0,112175.0,30070.0,73.11
2020,Salto do Céu (MT),0.0,0.0,0.0,0.0
2020,Santa Carmem (MT),414000.0,503697.0,115000.0,56.97
2020,Santa Cruz do Xingu (MT),100800.0,129256.0,28000.0,67.23
2020,Santa Rita do Trivelato (MT),571200.0,694636.0,170000.0,57.03
2020,Santa Terezinha (MT),97920.0,125577.0,27200.0,70.35
2020,Santo Afonso (MT),49014.0,64110.0,14207.0,65.3
2020,Santo Antônio do Leste (MT),328412.0,438758.0,96027.0,49.26
2020,Santo Antônio do Leverger (MT),62787.0,79739.0,17155.0,53.76
2020,Sapezal (MT),1288320.0,1524083.0,352000.0,52.65
2020,Serra Nova Dourada (MT),20670.0,26313.0,6500.0,93.32
2020,Sinop (MT),572375.0,680170.0,151422.0,56.24
2020,Sorriso (MT),2283300.0,2797020.0,590000.0,51.78
2020,São Félix do Araguaia (MT),838056.0,1066845.0,221708.0,67.0
2020,São José do Povo (MT),0.0,0.0,0.0,0.0
2020,São José do Rio Claro (MT),413280.0,504202.0,123000.0,54.42
2020,São José do Xingu (MT),421200.0,550618.0,117000.0,66.0
2020,São José dos Quatro Marcos (MT),8316.0,9009.0,2310.0,73.71
2020,São Pedro da Cipa (MT),6586.0,9089.0,1960.0,59.87
2020,Tabaporã (MT),556320.0,659239.0,152000.0,56.35
